ID,ID_Competencia,Nome,Descricao,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
NIV001,COM001,Iniciante,"Conceito de processo, tipos (operacional, gerencial, suporte), ciclo PDCA, visão sistêmica",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: —. Origem: linha 2 do HEATMAP.
NIV002,COM002,Iniciante,"Elementos básicos: eventos, atividades, gateways, pools, lanes, fluxos de sequência e mensagem",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Introdução a BPM. Origem: linha 3 do HEATMAP.
NIV003,COM003,Iniciante,"Técnicas de levantamento (entrevistas, observação, shadowing), documentação do estado atual",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: BPMN 2.0. Origem: linha 4 do HEATMAP.
NIV004,COM004,Intermediário,"Redesenho de processos, identificação de oportunidades, análise de valor agregado",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Mapeamento As-Is. Origem: linha 5 do HEATMAP.
NIV005,COM005,Iniciante,"8 desperdícios (TIMWOODS), fluxo de valor, just-in-time, kaizen, 5S",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 20h. Pré-requisito: Introdução a BPM. Origem: linha 6 do HEATMAP.
NIV006,COM006,Intermediário,"DMAIC, ferramentas estatísticas básicas (histograma, diagrama de causa e efeito, pareto)",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 40h. Pré-requisito: Lean Thinking. Origem: linha 7 do HEATMAP.
NIV007,COM007,Especialista,"DOE, análise de regressão, controle estatístico de processo (CEP), DFSS",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 80h. Pré-requisito: Green Belt. Origem: linha 8 do HEATMAP.
NIV008,COM008,Iniciante,"Estrutura de procedimento operacional padrão, padronização, versionamento de documentos",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 10h. Pré-requisito: BPMN 2.0. Origem: linha 9 do HEATMAP.
NIV009,COM009,Iniciante,"Definição de papéis (Responsible, Accountable, Consulted, Informed), aplicação em projetos e processos",1,True,2026-07-17,2026-07-17,Carga horária total estimada: 10h. Pré-requisito: Introdução a BPM. Origem: linha 10 do HEATMAP.
NIV010,COM010,Intermediário,"ABPMP BPM CBOK, modelos de maturidade (CMMI, OMG BPMM), avaliação e evolução de capacidades",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Mapeamento To-Be. Origem: linha 11 do HEATMAP.
NIV011,COM011,Intermediário,"Papel e estrutura do BPMO, funções de governança, portfólio de processos, modelo operacional do escritório",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: ABPMP CBOK. Origem: linha 12 do HEATMAP.
NIV012,COM012,Intermediário,"Auditoria interna de processos, conformidade regulatória, controles internos (COSO), evidências de execução",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: SOPs + RACI. Origem: linha 13 do HEATMAP.
NIV013,COM013,Especialista,"Níveis de maturidade CMMI-DEV e OMG BPMM, avaliação SCAMPI, roadmap de evolução, benchmarking",3,True,2026-07-17,2026-07-17,Carga horária total estimada: 30h. Pré-requisito: Escritório de Processos. Origem: linha 14 do HEATMAP.
NIV014,COM014,Intermediário,"Mapeamento de dados pessoais em fluxos de processo, adequação de SOPs à LGPD, RIPD (Relatório de Impacto)",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 15h. Pré-requisito: SOPs + Mapeamento As-Is. Origem: linha 15 do HEATMAP.
NIV015,COM015,Intermediário,"Diferença entre gestão funcional e por processos, escritório de processos (BPMO), KPIs de processo",2,True,2026-07-17,2026-07-17,Carga horária total estimada: 25h. Pré-requisito: ABPMP CBOK. Origem: linha 16 do HEATMAP.
