competencia_id,dominio_id,nome,descricao,objetivo_competencia,peso,complexidade_id,tempo_estimado_horas,ordem,ativo,data_criacao,data_atualizacao,observacoes
COM001,DOM001,Fundamentos de SQL,"Conceitos basicos de consultas SQL, selecao e filtragem de dados.",Capacitar o profissional a escrever consultas SQL simples.,1,CPL001,10,1,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM002,DOM001,Consultas Avancadas em SQL,"Joins complexos, subconsultas e funcoes de janela em SQL.",Capacitar o profissional a escrever consultas SQL complexas.,2,CPL003,20,2,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM003,DOM002,Modelagem Dimensional,Construcao de esquemas estrela e snowflake para analise de dados.,Capacitar o profissional a modelar dados analiticos.,2,CPL002,15,1,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM004,DOM002,Normalizacao de Dados,Formas normais e estrategias de desnormalizacao controlada.,Capacitar o profissional a estruturar dados transacionais.,2,CPL002,12,2,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM005,DOM003,DAX,Linguagem de expressoes de dados usada para calculos no Power BI.,Capacitar o profissional a criar medidas e colunas calculadas em DAX.,3,CPL003,18,1,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM006,DOM003,Power Query,Transformacao e limpeza de dados dentro do Power BI.,Capacitar o profissional a preparar dados para analise no Power BI.,2,CPL002,14,2,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM007,DOM003,Modelagem no Power BI,"Relacionamentos, seguranca e organizacao do modelo de dados no Power BI.",Capacitar o profissional a construir modelos de dados robustos no Power BI.,3,CPL003,16,3,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM008,DOM004,Storytelling com Dados,Construcao de narrativas visuais claras a partir de dados.,Capacitar o profissional a comunicar insights de forma eficaz.,2,CPL002,10,1,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM009,DOM004,Design de Dashboards,"Principios de design, hierarquia visual e usabilidade em paineis.",Capacitar o profissional a criar dashboards claros e acessiveis.,2,CPL002,12,2,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
COM010,DOM005,Gestao de Feedback,Praticas de feedback continuo e conversas dificeis com times.,Capacitar o lider a conduzir feedbacks eficazes com o time.,2,CPL002,8,1,true,2024-01-15,2024-06-01,Competencia de teste tecnico.
