ID,ID_Nivel,Titulo,Descricao,Tipo_Recurso,URL,Duracao_Estimada_Min,Gratuito,Ordem,Ativo,Data_Criacao,Data_Atualizacao,Observacoes
REC001,NIV001,Gestão de Processos – ABPMP CBOK,Recurso recomendado para a competência Introdução a BPM e ciclo de vida de processos.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 2 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC002,NIV001,FGV Online – Gestão por Processos,Recurso recomendado para a competência Introdução a BPM e ciclo de vida de processos.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 2 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC003,NIV002,BPMN Method and Style – Bruce Silver,Recurso recomendado para a competência Notação BPMN 2.0.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 3 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC004,NIV002,Bizagi Modeler (gratuito),Recurso recomendado para a competência Notação BPMN 2.0.,Ferramenta,,,True,2,True,2026-07-17,2026-07-17,"Origem direta: linha 3 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC005,NIV003,Udemy – Mapeamento de Processos com BPMN,Recurso recomendado para a competência Mapeamento As-Is.,Curso,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 4 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC006,NIV003,Lucidchart,Recurso recomendado para a competência Mapeamento As-Is.,Ferramenta,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 4 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC007,NIV004,Business Process Management – Dumas et al.,Recurso recomendado para a competência Mapeamento To-Be e análise de gaps.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 5 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC008,NIV004,Coursera – BPM,Recurso recomendado para a competência Mapeamento To-Be e análise de gaps.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 5 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC009,NIV005,A Mentalidade Enxuta – Womack & Jones,Recurso recomendado para a competência Lean Thinking e eliminação de desperdícios.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 6 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC010,NIV005,LinkedIn Learning – Lean Fundamentals,Recurso recomendado para a competência Lean Thinking e eliminação de desperdícios.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 6 do HEATMAP. A duração de 20h refere-se ao conteúdo completo, não individualmente a este recurso."
REC011,NIV006,Six Sigma for Dummies,Recurso recomendado para a competência Six Sigma – Yellow/Green Belt.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 7 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC012,NIV006,Coursera – Six Sigma Yellow Belt (USG),Recurso recomendado para a competência Six Sigma – Yellow/Green Belt.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 7 do HEATMAP. A duração de 40h refere-se ao conteúdo completo, não individualmente a este recurso."
REC013,NIV007,The Six Sigma Handbook – Pyzdek,Recurso recomendado para a competência Six Sigma – Black Belt.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 8 do HEATMAP. A duração de 80h refere-se ao conteúdo completo, não individualmente a este recurso."
REC014,NIV007,ASQ Certified Black Belt Prep,Recurso recomendado para a competência Six Sigma – Black Belt.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 8 do HEATMAP. A duração de 80h refere-se ao conteúdo completo, não individualmente a este recurso."
REC015,NIV008,ISO 9001 SOP,Recurso recomendado para a competência SOPs e manuais de processo.,Template,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 9 do HEATMAP. A duração de 10h refere-se ao conteúdo completo, não individualmente a este recurso."
REC016,NIV008,"Confluence, Notion",Recurso recomendado para a competência SOPs e manuais de processo.,Ferramenta,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 9 do HEATMAP. A duração de 10h refere-se ao conteúdo completo, não individualmente a este recurso."
REC017,NIV009,PMBOK Guide,Recurso recomendado para a competência Matriz RACI e gestão de responsabilidades.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 10 do HEATMAP. A duração de 10h refere-se ao conteúdo completo, não individualmente a este recurso."
REC018,NIV009,Alura – Gestão de Processos,Recurso recomendado para a competência Matriz RACI e gestão de responsabilidades.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 10 do HEATMAP. A duração de 10h refere-se ao conteúdo completo, não individualmente a este recurso."
REC019,NIV010,BPM CBOK v4.0 – ABPMP,Recurso recomendado para a competência Frameworks ABPMP e maturidade BPM.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 11 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC020,NIV010,ABPMP Brasil – Certificação CBPP,Recurso recomendado para a competência Frameworks ABPMP e maturidade BPM.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 11 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC021,NIV011,BPM CBOK v4.0 – cap. Organização BPM,Recurso recomendado para a competência Escritório de Processos (BPMO).,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 12 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC022,NIV011,ABPMP Brasil – BPM Avançado,Recurso recomendado para a competência Escritório de Processos (BPMO).,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 12 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC023,NIV012,Internal Auditing – Sawyer,Recurso recomendado para a competência Auditoria e conformidade de processos.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 13 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC024,NIV012,Udemy – Auditoria de Processos e Controles Internos,Recurso recomendado para a competência Auditoria e conformidade de processos.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 13 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC025,NIV013,CMMI for Development v2.0 – SEI,Recurso recomendado para a competência Maturidade organizacional (CMMI / OMG BPMM).,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 14 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC026,NIV013,ISACA – CMMI Associate,Recurso recomendado para a competência Maturidade organizacional (CMMI / OMG BPMM).,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 14 do HEATMAP. A duração de 30h refere-se ao conteúdo completo, não individualmente a este recurso."
REC027,NIV014,LGPD Comentada – Cots & Oliveira,Recurso recomendado para a competência LGPD aplicada a processos e SOPs.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 15 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC028,NIV014,FGV – LGPD para Gestores,Recurso recomendado para a competência LGPD aplicada a processos e SOPs.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 15 do HEATMAP. A duração de 15h refere-se ao conteúdo completo, não individualmente a este recurso."
REC029,NIV015,Gestão de Processos Orientada a Resultados – Baldam,Recurso recomendado para a competência Gestão por processos e estrutura organizacional.,Livro,,,,1,True,2026-07-17,2026-07-17,"Origem direta: linha 16 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
REC030,NIV015,FGV – BPM Avançado,Recurso recomendado para a competência Gestão por processos e estrutura organizacional.,Curso,,,,2,True,2026-07-17,2026-07-17,"Origem direta: linha 16 do HEATMAP. A duração de 25h refere-se ao conteúdo completo, não individualmente a este recurso."
