ID,ID_Trilha,ID_Competencia,ID_Nivel_Minimo,Tipo_Participacao,Ordem,Obrigatorio,Marco,Resultado_Esperado,Evidencia_Sugerida,Observacoes
TRC001,TRI001,COM005,NIV010,ESSENCIAL,1,true,,,,DAX e essencial para o analista de BI.
TRC002,TRI001,COM006,NIV013,ESSENCIAL,2,true,,,,Power Query e essencial para preparacao de dados.
TRC003,TRI001,COM007,NIV015,ESSENCIAL,3,true,,,,Modelagem no Power BI garante um modelo de dados solido.
TRC004,TRI001,COM008,NIV017,COMPLEMENTAR,4,false,,,,Storytelling reforca a comunicacao de insights.
TRC005,TRI001,COM009,NIV019,COMPLEMENTAR,5,false,,,,Design de dashboards melhora a entrega visual.
TRC006,TRI002,COM001,NIV001,ESSENCIAL,1,true,,,,Fundamentos de SQL sao a base do engenheiro de dados.
TRC007,TRI002,COM002,NIV004,ESSENCIAL,2,true,,,,Consultas avancadas sao usadas no dia a dia do engenheiro de dados.
TRC008,TRI002,COM003,NIV006,ESSENCIAL,3,true,,,,Modelagem dimensional e essencial para pipelines analiticos.
TRC009,TRI002,COM004,NIV008,COMPLEMENTAR,4,false,,,,Normalizacao de dados apoia o design de bancos transacionais.
TRC010,TRI003,COM010,NIV021,ESSENCIAL,1,true,,,,Gestao de feedback e central para lideranca de times.
TRC011,TRI003,COM008,NIV017,COMPLEMENTAR,2,false,,,,Storytelling apoia a comunicacao do lider com stakeholders.
TRC012,TRI003,COM009,NIV019,COMPLEMENTAR,3,false,,,,Design de dashboards ajuda o lider a interpretar resultados do time.
TRC013,TRI003,COM003,NIV006,COMPLEMENTAR,4,false,,,,Conhecimento basico de modelagem apoia decisoes tecnicas do lider.
